student_id,date,choice_1,choice_2,choice_3,direct_assignment,assigned_cca,remarks
id_124,2020-01-13 02:21:00,cca_20,cca_11,cca_01,,cca_11,Assigned second choice
id_125,2020-01-13 02:21:00,cca_03,cca_21,cca_08,,cca_03,Assigned first choice
id_126,2020-01-13 02:21:00,cca_06,cca_04,cca_18,,cca_04,Assigned second choice
id_127,2020-01-13 02:21:00,cca_12,cca_03,cca_06,,cca_12,Assigned first choice
id_128,2020-01-13 02:21:00,cca_01,cca_18,cca_07,,cca_01,Assigned first choice
id_129,2020-01-13 02:21:00,cca_17,cca_11,cca_24,,cca_17,Assigned first choice
id_130,2020-01-13 02:21:00,cca_10,cca_25,cca_04,,cca_10,Assigned first choice
id_131,2020-01-13 02:21:00,cca_23,cca_15,cca_07,,cca_23,Assigned first choice
id_132,2020-01-13 02:21:00,cca_17,cca_10,cca_19,,cca_17,Assigned first choice
id_133,2020-01-13 02:21:00,cca_07,cca_20,cca_02,,cca_07,Assigned first choice
id_134,2020-01-13 02:21:00,cca_15,cca_12,cca_01,,cca_12,Assigned second choice
id_135,2020-01-13 02:21:00,cca_03,cca_14,cca_24,,cca_03,Assigned first choice
id_136,2020-01-13 02:21:00,cca_06,cca_15,cca_02,,cca_06,Assigned first choice
id_137,2020-01-13 02:21:00,cca_10,cca_24,cca_17,,cca_10,Assigned first choice
id_138,2020-01-13 02:21:00,cca_22,cca_10,cca_13,,cca_22,Assigned first choice
id_139,2020-01-13 02:21:00,cca_13,cca_09,cca_04,,cca_04,Assigned third choice
id_140,2020-01-13 02:21:00,cca_10,cca_04,cca_02,,cca_04,Assigned second choice
id_141,2020-01-13 02:21:00,cca_03,cca_15,cca_09,,cca_03,Assigned first choice
id_142,2020-01-13 02:21:00,cca_04,cca_20,cca_17,,cca_04,Assigned first choice
id_143,2020-01-13 02:21:00,cca_22,cca_08,cca_13,,cca_22,Assigned first choice
id_144,2020-01-13 02:21:00,cca_20,cca_13,cca_06,,cca_20,Assigned first choice
id_145,2020-01-13 02:21:00,cca_01,cca_02,cca_21,,cca_02,Assigned second choice
id_146,2020-01-13 02:21:00,cca_17,cca_25,cca_14,,cca_17,Assigned first choice
id_147,2020-01-13 02:21:00,cca_25,cca_23,cca_16,,cca_16,Assigned third choice
id_148,2020-01-13 02:21:00,cca_02,cca_24,cca_05,,cca_02,Assigned first choice
id_149,2020-01-13 02:21:00,cca_09,cca_18,cca_15,,cca_18,Assigned second choice
id_150,2020-01-13 02:21:00,cca_01,cca_24,cca_11,,cca_24,Assigned second choice
id_151,2020-01-13 02:21:00,cca_20,cca_13,cca_02,,cca_20,Assigned first choice
id_152,2020-01-13 02:21:00,cca_24,cca_11,cca_01,,cca_24,Assigned first choice
id_153,2020-01-13 02:21:00,cca_01,cca_09,cca_22,,cca_01,Assigned first choice
id_154,2020-01-13 02:21:00,cca_07,cca_20,cca_18,,cca_07,Assigned first choice
id_155,2020-01-13 02:21:00,cca_06,cca_08,cca_23,,cca_08,Assigned second choice
id_156,2020-01-13 02:21:00,cca_01,cca_15,cca_11,,cca_01,Assigned first choice
id_157,2020-01-13 02:21:00,cca_09,cca_17,cca_01,,cca_09,Assigned first choice
id_158,2020-01-13 02:21:00,cca_23,cca_04,cca_02,,cca_04,Assigned second choice
id_159,2020-01-13 02:21:00,cca_15,cca_17,cca_24,,cca_15,Assigned first choice
id_160,2020-01-13 02:21:00,cca_11,cca_12,cca_10,,cca_12,Assigned second choice
id_161,2020-01-13 02:21:00,cca_20,cca_21,cca_23,,cca_20,Assigned first choice
id_162,2020-01-13 02:21:00,cca_21,cca_01,cca_02,,cca_21,Assigned first choice
id_163,2020-01-13 02:21:00,cca_19,cca_11,cca_20,cca_19,cca_19,Assigned first choice
id_164,2020-01-13 02:21:00,cca_16,cca_03,cca_05,,cca_16,Assigned first choice
id_165,2020-01-13 02:21:00,cca_21,cca_04,cca_03,,cca_04,Assigned second choice
id_166,2020-01-13 02:21:00,cca_11,cca_04,cca_18,,cca_11,Assigned first choice
id_167,2020-01-13 02:21:00,cca_06,cca_24,cca_11,,cca_06,Assigned first choice
id_168,2020-01-13 02:21:00,cca_10,cca_09,cca_02,,cca_10,Assigned first choice
id_169,2020-01-13 02:21:00,cca_11,cca_22,cca_02,,cca_11,Assigned first choice
id_170,2020-01-13 02:21:00,cca_03,cca_17,cca_20,,cca_03,Assigned first choice
id_171,2020-01-13 02:21:00,cca_19,cca_22,cca_07,,cca_19,Assigned first choice
id_172,2020-01-13 02:21:00,cca_02,cca_21,cca_01,,cca_02,Assigned first choice
id_173,2020-01-13 02:21:00,cca_10,cca_19,cca_03,,cca_10,Assigned first choice
id_174,2020-01-13 02:21:00,cca_13,cca_14,cca_02,,cca_14,Assigned second choice
id_175,2020-01-13 02:21:00,cca_09,cca_12,cca_05,,cca_12,Assigned second choice
id_176,2020-01-13 02:21:00,cca_14,cca_01,cca_17,,cca_14,Assigned first choice
id_177,2020-01-13 02:21:00,cca_18,cca_19,cca_04,,cca_18,Assigned first choice
id_178,2020-01-13 02:21:00,cca_22,cca_02,cca_17,,cca_22,Assigned first choice
id_179,2020-01-13 02:21:00,cca_01,cca_12,cca_17,,cca_12,Assigned second choice
id_180,2020-01-13 02:21:00,cca_19,cca_05,cca_15,,cca_19,Assigned first choice
id_181,2020-01-13 02:21:00,cca_15,cca_21,cca_07,,cca_15,Assigned first choice
id_182,2020-01-13 02:21:00,cca_18,cca_02,cca_25,,cca_18,Assigned first choice
id_183,2020-01-13 02:21:00,cca_25,cca_16,cca_12,,cca_16,Assigned second choice
id_184,2020-01-13 02:21:00,cca_25,cca_17,cca_01,,cca_25,Assigned first choice
id_185,2020-01-13 02:21:00,cca_21,cca_02,cca_15,,cca_21,Assigned first choice
id_186,2020-01-13 02:21:00,cca_03,cca_06,cca_22,,cca_03,Assigned first choice
id_187,2020-01-13 02:21:00,cca_15,cca_11,cca_13,,cca_15,Assigned first choice
id_188,2020-01-13 02:21:00,cca_05,cca_06,cca_17,,cca_06,Assigned second choice
id_189,2020-01-13 02:21:00,cca_06,cca_20,cca_05,,cca_06,Assigned first choice
id_190,2020-01-13 02:21:00,cca_02,cca_22,cca_12,,cca_02,Assigned first choice
id_191,2020-01-13 02:21:00,cca_21,cca_13,cca_19,,cca_21,Assigned first choice
id_192,2020-01-13 02:21:00,cca_10,cca_22,cca_01,cca_10,cca_10,Assigned first choice
id_193,2020-01-13 02:21:00,cca_07,cca_09,cca_10,,cca_07,Assigned first choice
id_194,2020-01-13 02:21:00,cca_21,cca_03,cca_23,,cca_21,Assigned first choice
id_195,2020-01-13 02:21:00,cca_19,cca_07,cca_21,,cca_19,Assigned first choice
id_196,2020-01-13 02:21:00,cca_10,cca_21,cca_04,,cca_10,Assigned first choice
id_197,2020-01-13 02:21:00,cca_12,cca_02,cca_06,,cca_12,Assigned first choice
id_198,2020-01-13 02:21:00,cca_03,cca_12,cca_19,,cca_12,Assigned second choice
id_199,2020-01-13 02:21:00,cca_01,cca_14,cca_08,,cca_16,Randomly assigned none of choices
id_200,2020-01-13 02:21:00,cca_16,cca_13,cca_14,,cca_16,Assigned first choice
